,COMMODITY_DESC,GEOGRAPHY_DESC,UNIT_DESC,YEAR_ID,AMOUNT
150029,Beef and veal,Argentina,KG,2007,2095657.0
150030,Beef and veal,Argentina,KG,2007,1486241.0
150262,Beef and veal,Argentina,KG,2007,1119563.0
150263,Beef and veal,Argentina,KG,2007,1253892.0
160377,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,959339.0
160378,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,336613.0
160379,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,432380.0
161482,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2007,1325637.26853264
161556,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2007,2560222.19341476
161557,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2007,2578754.2900392003
161558,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2007,2334941.52747912
161599,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2007,3180904.15194972
161600,"Meat of bovine animals, nesoi, no cereals or vegetables, prepared or preserved",Argentina,CWE,2007,1842042.50244252
164388,Beef and veal,Argentina,CWE,2007,5943849.69378186
164389,Beef and veal,Argentina,CWE,2007,5243850.19767042
164390,Beef and veal,Argentina,CWE,2007,5886444.70997352
165504,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,163884.0
165505,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,181991.0
165506,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,54005.0
165552,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,320484.75373656
165553,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,570485.11863294
168031,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,43594.0
168032,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,121103.0
168033,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,58288.0
168059,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,98134.0
182475,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,646731.06660792
182476,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,887868.10149282
182477,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,387263.59187292
182526,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,74079.0
182527,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,37152.0
182528,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,KG,2007,144563.0
182632,"Meat of bovine animals, cured or pickled, no cereals or vegetables",Argentina,CWE,2007,292335.98571702
184923,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,197810.89944588
184924,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,CWE,2007,322015.907808
187884,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,32640.0
187885,"Corned beef, nesoi, no cereals or vegetables, airtight container less than 1kg",Argentina,KG,2007,92287.0
202695,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container less ",Argentina,KG,2007,32640.0
219182,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,1409998.4080434
219183,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,4393613.23002
219184,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,1937483.3225538002
219185,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,3098274.346188
221592,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,261982.0
221593,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,1048900.0
221696,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,821117.0
221697,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,840601.0
221698,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,KG,2007,539952.0
221742,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,1811145.474684
221743,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,2261741.1104736
235345,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,4018461.7432302004
235369,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,1097385.4335276
235370,"Meat of bovine animals, nesoi, no vegetables, prepared, airtight container 1kg o",Argentina,CWE,2007,2646589.6271304
