,Unnamed: 0,Commodity,Country,UNIT_DESC,Year,AMOUNT,Metric Tons
46939,168092,Pork,Mexico,CWE,2007,30481.103772,1382.6228670979199
46940,168093,Pork,Mexico,CWE,2007,67282.858818,3051.9504759844795
46941,168094,Pork,Mexico,CWE,2007,70841.118726,3213.35314541136
46942,168095,Pork,Mexico,CWE,2007,52688.261178,2389.9395270340797
46943,168096,Pork,Mexico,CWE,2007,20787.380838,942.9155948116802
46944,169116,Pork,Mexico,KG,2007,1027.0,1.0270000000000001
46945,169117,Pork,Mexico,KG,2007,535.0,0.535
46946,169118,Pork,Mexico,KG,2007,6378.0,6.377999999999999
46947,169119,Pork,Mexico,KG,2007,2627.0,2.627
46948,169162,Pork,Mexico,CWE,2007,2471.381262,112.10185404431999
46949,169163,Pork,Mexico,CWE,2007,3419.368722,155.10256522991997
46950,169795,Pork,Mexico,KG,2007,1265.0,1.265
46951,169796,Pork,Mexico,KG,2007,919.0,0.919
46952,169797,Pork,Mexico,KG,2007,5232.0,5.232
46953,169798,Pork,Mexico,KG,2007,4742.0,4.742
46954,175773,Beef,Mexico,CWE,2007,7098.88284,322.0053256224
46955,177538,Beef,Mexico,CWE,2007,161103.89905344,7307.672861064037
46956,177586,Beef,Mexico,KG,2007,10000.0,10.0
46957,177587,Beef,Mexico,KG,2007,53732.0,53.732
46958,177603,Beef,Mexico,CWE,2007,122138.17523712,5540.187628755762
46959,177604,Beef,Mexico,CWE,2007,94691.86592544,4295.223038377958
46960,177686,Beef,Mexico,CWE,2007,126104.90750928,5720.118604620941
46961,177687,Beef,Mexico,CWE,2007,100601.48747376,4563.283471809754
46962,177688,Beef,Mexico,CWE,2007,65956.29366816,2991.7774807877367
46963,177689,Beef,Mexico,CWE,2007,41592.22228224,1886.6232027224066
46964,179251,Beef,Mexico,KG,2007,728031.0,728.0310000000002
46965,179306,Beef,Mexico,CWE,2007,1546537.923756,70150.96022157215
46966,179307,Beef,Mexico,CWE,2007,1878990.512112,85231.0096294003
46967,179361,Beef,Mexico,CWE,2007,1679428.128672,76178.85991656192
46968,179362,Beef,Mexico,CWE,2007,1569975.260238,71214.07780439567
46969,179399,Beef,Mexico,CWE,2007,1385708.544234,62855.73956645424
46970,179400,Beef,Mexico,CWE,2007,1703608.422768,77275.67805675647
